date,y_true,fcast_comby,hmean,nr_comby,dy,ep,dpayr,svar,bmr,ntis,tbl,lty,ltr,dfr,dfy,inf
1960-01-01,-0.073333,0.0012490119440998534,0.013531048951048948,2,0,0,0,0,0,1,1,0,0,0,0,0
1960-02-01,0.010622,-0.0008651771445570772,0.012927826388888886,2,0,0,1,0,0,0,1,0,0,0,0,0
1960-03-01,-0.015466,0.002324461582113791,0.012911924137931031,2,0,0,1,0,0,0,1,0,0,0,0,0
1960-04-01,-0.019613,0.00588199341375493,0.012717554794520547,2,0,0,1,0,0,0,1,0,0,0,0,0
1960-05-01,0.031613,0.005067484278897562,0.012497619047619047,2,0,0,0,0,0,1,1,0,0,0,0,0
1960-06-01,0.019102,0.006435535950608929,0.012626777027027027,2,0,0,1,0,0,0,1,0,0,0,0,0
1960-07-01,-0.025348,0.011334847969271927,0.012670234899328859,2,0,0,1,0,0,0,1,0,0,0,0,0
1960-08-01,0.030167,0.01035321452390553,0.01241678,2,0,0,0,0,0,1,1,0,0,0,0,0
1960-09-01,-0.060413,0.01180405788272172,0.012534331125827814,2,0,0,1,0,0,0,1,0,0,0,0,0
1960-10-01,-0.002679,0.008306556392198962,0.012054414473684211,2,0,0,0,0,0,1,1,0,0,0,0,0
1960-11-01,0.043881,0.009334844288983178,0.011958117647058822,2,0,0,0,0,0,1,1,0,0,0,0,0
1960-12-01,0.047539,0.009705554821433298,0.012165409090909091,2,0,0,0,0,0,1,1,0,0,0,0,0
1961-01-01,0.06272,0.011515687851850462,0.012393625806451612,2,0,0,0,0,0,1,1,0,0,0,0,0
1961-02-01,0.030938,0.012641096663410147,0.012716230769230768,2,0,0,1,0,0,0,1,0,0,0,0,0
1961-03-01,0.027945,0.01213647303630568,0.012832292993630572,2,0,0,1,0,0,0,1,0,0,0,0,0
1961-04-01,0.002537,0.012607773958126987,0.012927943037974681,2,0,0,1,0,0,0,1,0,0,0,0,0
1961-05-01,0.021853,0.013074835925355098,0.01286259119496855,2,0,0,1,0,0,0,1,0,0,0,0,0
1961-06-01,-0.028473,0.013292712033742847,0.012918781249999997,2,0,0,1,0,0,0,1,0,0,0,0,0
1961-07-01,0.031795,0.011555379065929529,0.012661689440993787,2,0,0,0,0,0,1,1,0,0,0,0,0
1961-08-01,0.02293,0.01139024170888428,0.012779796296296294,2,0,0,0,0,0,1,1,0,0,0,0,0
1961-09-01,-0.020074,0.01259452603696835,0.012842067484662576,2,0,0,1,0,0,0,1,0,0,0,0,0
1961-10-01,0.026475,0.01111742273560393,0.01264135975609756,2,0,0,0,0,0,1,1,0,0,0,0,0
1961-11-01,0.043326,0.010857708244122983,0.012725199999999999,2,0,0,0,0,0,1,1,0,0,0,0,0
1961-12-01,0.003196,0.012078571640008222,0.012909542168674697,2,0,0,1,0,0,0,1,0,0,0,0,0
1962-01-01,-0.039256,0.011202772659792307,0.01285137724550898,2,0,0,1,0,0,0,1,0,0,0,0,0
1962-02-01,0.018192,0.007921329048817226,0.012541214285714284,2,0,0,0,0,0,0,1,0,1,0,0,0
1962-03-01,-0.005842,0.010370739910062847,0.012574650887573964,2,0,0,0,0,0,0,1,0,1,0,0,0
1962-04-01,-0.063743,0.013306454756086493,0.012466317647058823,2,0,0,0,0,0,0,1,0,1,0,0,0
1962-05-01,-0.082047,0.008005122100845448,0.012020649122807016,2,0,0,0,0,0,1,1,0,0,0,0,0
1962-06-01,-0.083069,0.006847933269133647,0.01147374418604651,2,0,0,0,0,0,1,1,0,0,0,0,0
1962-07-01,0.063203,0.006233427395593038,0.010927254335260114,2,0,0,0,0,0,1,1,0,0,0,0,0
1962-08-01,0.018969,0.004479400299281417,0.011227689655172412,2,0,0,0,0,0,1,1,0,0,0,0,0
1962-09-01,-0.051116,0.00553715145214949,0.011271925714285713,2,0,0,0,0,0,1,1,0,0,0,0,0
1962-10-01,0.006213,0.004853036900427569,0.010917448863636362,2,0,0,0,0,0,1,1,0,0,0,0,0
1962-11-01,0.105768,0.005844075807685483,0.010890870056497174,2,0,0,0,0,0,1,1,0,0,0,0,0
1962-12-01,0.013534,0.00706403647466464,0.01142388764044944,2,0,0,0,0,0,1,1,0,0,0,0,0
1963-01-01,0.048067,0.008224434686152235,0.011435675977653634,2,0,0,0,0,0,1,1,0,0,0,0,0
1963-02-01,-0.026689,0.009309363241478921,0.011639183333333336,2,0,0,0,0,0,1,1,0,0,0,0,0
1963-03-01,0.034281,0.009616833689637335,0.011427425414364643,2,0,0,0,0,0,1,1,0,0,0,0,0
1963-04-01,0.04677,0.009961822501145816,0.011552994505494508,2,0,0,0,0,0,1,1,0,0,0,0,0
1963-05-01,0.017174,0.010348710278623063,0.011745437158469946,2,0,0,0,0,0,1,1,0,0,0,0,0
1963-06-01,-0.021005,0.010428752441967367,0.011774940217391306,2,0,0,0,0,0,1,1,0,0,0,0,0
1963-07-01,-0.004121,0.008469591940191248,0.01159775135135135,2,0,0,0,0,0,1,1,0,0,0,0,0
1963-08-01,0.050766,0.009532355160826267,0.01151324193548387,2,0,0,0,0,0,1,1,0,0,0,0,0
1963-09-01,-0.012902,0.009943663703374114,0.011723149732620319,2,0,0,0,0,0,1,1,0,0,0,0,0
1963-10-01,0.032125,0.00851461762556729,0.011592164893617021,2,0,0,0,0,0,1,1,0,0,0,0,0
1963-11-01,-0.007387,0.008749330254822694,0.011700804232804233,2,0,0,0,0,0,1,1,0,0,0,0,0
1963-12-01,0.023365,0.00879948864333512,0.011600342105263157,2,0,0,0,0,0,1,1,0,0,0,0,0
1964-01-01,0.024491,0.008438615479349956,0.01166193717277487,2,0,0,0,0,0,1,1,0,0,0,0,0
1964-02-01,0.014015,0.007500228692670918,0.011728755208333332,2,0,0,0,0,0,1,1,0,0,0,0,0
1964-03-01,0.014632,0.006816960628235837,0.01174060103626943,2,0,0,0,0,0,1,1,0,0,0,0,0
1964-04-01,0.003092,0.006827339881980894,0.011755505154639176,2,0,0,0,0,0,1,1,0,0,0,0,0
1964-05-01,0.013915,0.006412900692629785,0.011711076923076925,2,0,0,0,0,0,1,1,0,0,0,0,0
1964-06-01,0.015484,0.0063957481225216,0.01172232142857143,2,0,0,0,0,0,1,1,0,0,0,0,0
1964-07-01,0.01591,0.006697845155449047,0.011741416243654823,2,0,0,0,0,0,1,1,0,0,0,0,0
1964-08-01,-0.014621,0.006735561556374835,0.011762469696969697,2,0,0,0,0,0,1,1,0,0,0,0,0
1964-09-01,0.027599,0.0064899040402718,0.01162988944723618,2,0,0,0,0,0,1,1,0,0,0,0,0
1964-10-01,0.005945,0.006709046194660897,0.011709734999999999,2,0,0,0,0,0,1,1,0,0,0,0,0
1964-11-01,-0.001302,0.006626182158612063,0.011681054726368158,2,0,0,0,0,0,1,1,0,0,0,0,0
1964-12-01,0.002328,0.006475291940758048,0.011616782178217822,2,0,0,0,0,0,1,1,0,0,0,0,0
1965-01-01,0.031691,0.004720637455135242,0.011571024630541871,2,0,0,0,0,0,1,1,0,0,0,0,0
1965-02-01,0.000946,0.006425684264559915,0.011669651960784313,2,0,0,0,0,0,1,1,0,0,0,0,0
1965-03-01,-0.015213,0.006558340635459967,0.011617341463414633,2,0,0,0,0,0,1,1,0,0,0,0,0
1965-04-01,0.032012,0.005292900167246832,0.011487097087378639,2,0,0,0,0,0,1,1,0,0,0,0,0
1965-05-01,-0.006222,0.006651675272071847,0.011586251207729466,2,0,0,0,0,0,1,1,0,0,0,0,0
1965-06-01,-0.04998,0.006289696986869209,0.011500634615384612,2,0,0,0,0,0,1,1,0,0,0,0,0
1965-07-01,0.010986,0.005550150967899738,0.011206468899521527,2,0,0,0,0,0,1,1,0,0,0,0,0
1965-08-01,0.02446,0.005785227433311011,0.011205419047619047,2,0,0,0,0,0,1,1,0,0,0,0,0
1965-09-01,0.030066,0.006111779113467529,0.011268236966824644,2,0,0,0,0,0,1,1,0,0,0,0,0
1965-10-01,0.025712,0.005980904004023151,0.01135690566037736,2,0,0,0,0,0,1,1,0,0,0,0,0
1965-11-01,-0.006921,0.005792448965275427,0.011424300469483568,2,0,0,0,0,0,1,1,0,0,0,0,0
1965-12-01,0.006849,0.004858018259961352,0.01133857476635514,2,0,0,0,0,0,1,1,0,0,0,0,0
1966-01-01,0.002405,0.0038296012209452085,0.011317693023255812,2,0,0,0,0,0,1,1,0,0,0,0,0
1966-02-01,-0.01655,0.0031941660467992507,0.011276430555555553,2,0,0,0,0,0,1,1,0,0,0,0,0
1966-03-01,-0.026541,0.0027558625284547,0.011148198156682027,2,0,0,0,0,0,1,1,0,0,0,0,0
1966-04-01,0.018358,0.0030346031425783327,0.010975311926605504,2,0,0,0,0,0,1,1,0,0,0,0,0
1966-05-01,-0.05254,0.003474063104778109,0.011009022831050227,2,0,0,0,0,0,1,1,0,0,0,0,0
1966-06-01,-0.01848,0.0022766907044730585,0.010720163636363635,2,0,0,0,0,0,1,1,0,0,0,0,0
1966-07-01,-0.015929,0.0023924916058633994,0.010588036199095022,2,0,0,0,0,0,1,1,0,0,0,0,0
1966-08-01,-0.07515,0.0007803990323385765,0.01046859009009009,2,0,0,0,0,0,1,1,0,0,0,0,0
1966-09-01,-0.010344,-0.0013814401450213598,0.010084650224215248,2,0,0,0,0,0,1,1,0,0,0,0,0
1966-10-01,0.044333,-0.002966973496868539,0.009993450892857145,2,0,0,0,0,0,1,1,0,0,0,0,0
