date,y_true,fcast_glp,hmean,nr_glp,dy,ep,dpayr,svar,bmr,ntis,tbl,lty,ltr,dfr,dfy,inf
1960-01-01,-0.073333,-0.0023757570850404786,0.013531048951048948,4.7937,0.3754,0.3813,0.4365,0.388,0.3679,0.3624,0.6701,0.3961,0.4311,0.3288,0.3387,0.3174
1960-02-01,0.010622,-0.005232911424614512,0.012927826388888886,4.8267,0.3672,0.3794,0.432,0.3924,0.3477,0.3231,0.8318,0.3828,0.4602,0.2985,0.3163,0.2953
1960-03-01,-0.015466,0.0019462566233754233,0.012911924137931031,5.1612,0.3898,0.408,0.4621,0.4224,0.3842,0.3511,0.8273,0.4204,0.4901,0.3255,0.3528,0.3275
1960-04-01,-0.019613,0.006487772687826854,0.012717554794520547,5.0148,0.3802,0.3982,0.4521,0.3963,0.3693,0.3389,0.8384,0.406,0.4686,0.3185,0.3336,0.3147
1960-05-01,0.031613,-3.5745752888343836e-5,0.012497619047619047,4.8925,0.3711,0.385,0.4302,0.3942,0.3647,0.3231,0.8546,0.4114,0.4275,0.3043,0.3269,0.2995
1960-06-01,0.019102,0.004570964132328408,0.012626777027027027,4.9824,0.3774,0.3947,0.4525,0.4086,0.3742,0.3405,0.8314,0.4125,0.4217,0.3225,0.3274,0.319
1960-07-01,-0.025348,0.01194967918836897,0.012670234899328859,4.648,0.3471,0.3637,0.4249,0.3728,0.3488,0.3133,0.8111,0.3903,0.3954,0.2895,0.3063,0.2848
1960-08-01,0.030167,0.01394183199457928,0.01241678,4.5904,0.3488,0.3541,0.4052,0.3704,0.3431,0.3141,0.8199,0.3878,0.3712,0.2846,0.3043,0.2869
1960-09-01,-0.060413,0.010084340456102753,0.012534331125827814,4.7244,0.3511,0.3739,0.4157,0.3824,0.3507,0.318,0.8246,0.3888,0.395,0.3014,0.3179,0.3049
1960-10-01,-0.002679,0.010375590044577408,0.012054414473684211,4.7937,0.3564,0.3689,0.4125,0.3902,0.3535,0.3371,0.8104,0.411,0.4114,0.3272,0.3137,0.3014
1960-11-01,0.043881,0.00913089070078015,0.011958117647058822,4.5997,0.3465,0.3545,0.3928,0.3695,0.3468,0.3147,0.8094,0.395,0.3947,0.3013,0.2921,0.2824
1960-12-01,0.047539,0.008419362282418031,0.012165409090909091,4.9703,0.3784,0.3888,0.43,0.4072,0.3743,0.34,0.827,0.4168,0.4245,0.3267,0.3347,0.3219
1961-01-01,0.06272,0.013715897856315341,0.012393625806451612,4.3953,0.3327,0.3384,0.3885,0.3521,0.3364,0.2882,0.8102,0.3584,0.3634,0.2766,0.2903,0.2601
1961-02-01,0.030938,0.010564549852322724,0.012716230769230768,5.0168,0.3888,0.392,0.4575,0.4002,0.3715,0.3391,0.8358,0.4073,0.4583,0.3303,0.3245,0.3115
1961-03-01,0.027945,0.014797782439293672,0.012832292993630572,4.955,0.3746,0.4,0.4607,0.402,0.3672,0.3347,0.8351,0.4021,0.4382,0.3218,0.3213,0.2973
1961-04-01,0.002537,0.012420056258751887,0.012927943037974681,4.9019,0.3709,0.3971,0.4524,0.3877,0.3595,0.3297,0.8293,0.4012,0.4445,0.3195,0.3188,0.2913
1961-05-01,0.021853,0.01624235374026001,0.01286259119496855,5.359,0.4109,0.4275,0.4882,0.4271,0.4087,0.3646,0.8451,0.4315,0.4938,0.3575,0.3617,0.3424
1961-06-01,-0.028473,0.012921090473085341,0.012918781249999997,5.128,0.3855,0.4105,0.4793,0.4075,0.3771,0.3428,0.8465,0.4135,0.4691,0.3347,0.3418,0.3197
1961-07-01,0.031795,0.01127118550703414,0.012661689440993787,5.0148,0.3783,0.3908,0.4453,0.3978,0.3762,0.3432,0.8386,0.402,0.4667,0.3367,0.3342,0.305
1961-08-01,0.02293,0.013690266740266648,0.012779796296296294,5.0778,0.3892,0.403,0.461,0.4043,0.3797,0.3412,0.8426,0.4151,0.4595,0.3328,0.3364,0.313
1961-09-01,-0.020074,0.011448381230497871,0.012842067484662576,5.1095,0.3786,0.4064,0.4699,0.4091,0.3835,0.3419,0.8508,0.4112,0.479,0.3339,0.3379,0.3073
1961-10-01,0.026475,0.01448708557423045,0.01264135975609756,5.2771,0.4001,0.4063,0.4676,0.4284,0.3873,0.3645,0.8606,0.4292,0.4919,0.3524,0.3561,0.3327
1961-11-01,0.043326,0.012681926393930393,0.012725199999999999,4.9705,0.3721,0.3905,0.4571,0.3983,0.3575,0.3261,0.8474,0.3944,0.4631,0.3296,0.3272,0.3072
1961-12-01,0.003196,0.01113847420314113,0.012909542168674697,5.2331,0.3988,0.4088,0.4848,0.42,0.3826,0.3404,0.8702,0.423,0.4977,0.3438,0.345,0.318
1962-01-01,-0.039256,0.008436512036173028,0.01285137724550898,5.0861,0.3811,0.4031,0.4676,0.4019,0.3741,0.3404,0.8588,0.4031,0.4861,0.3286,0.3333,0.308
1962-02-01,0.018192,0.007693134499589441,0.012541214285714284,5.1513,0.3858,0.4019,0.4592,0.4054,0.3773,0.3434,0.8676,0.4108,0.5168,0.3409,0.332,0.3102
1962-03-01,-0.005842,0.009044869077181064,0.012574650887573964,5.3918,0.4065,0.4236,0.4884,0.4307,0.3999,0.3574,0.873,0.43,0.5377,0.3615,0.3536,0.3295
1962-04-01,-0.063743,0.011535125113888257,0.012466317647058823,5.0731,0.384,0.3913,0.4449,0.4076,0.3695,0.3312,0.8694,0.4069,0.5105,0.3279,0.3253,0.3046
1962-05-01,-0.082047,0.007560982811881383,0.012020649122807016,4.9789,0.3751,0.3877,0.432,0.4145,0.3721,0.3245,0.876,0.4025,0.4337,0.3204,0.3339,0.3065
1962-06-01,-0.083069,0.01595399246560512,0.01147374418604651,4.3347,0.3133,0.3225,0.356,0.3453,0.3194,0.2693,0.8786,0.3498,0.3516,0.2872,0.2834,0.2583
