date,y_true,fcast_ew,hmean,nr_ew,dy,ep,dpayr,svar,bmr,ntis,tbl,lty,ltr,dfr,dfy,inf
1960-01-01,-0.073333,0.008179633613090181,0.013531048951048948,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1960-02-01,0.010622,0.008187652037868887,0.012927826388888886,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1960-03-01,-0.015466,0.009561837341333245,0.012911924137931031,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1960-04-01,-0.019613,0.010219672129603908,0.012717554794520547,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1960-05-01,0.031613,0.008015465637187972,0.012497619047619047,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1960-06-01,0.019102,0.009665239559538314,0.012626777027027027,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1960-07-01,-0.025348,0.010579555390096244,0.012670234899328859,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1960-08-01,0.030167,0.011125437941312502,0.01241678,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1960-09-01,-0.060413,0.009732292216748737,0.012534331125827814,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1960-10-01,-0.002679,0.010077992911948322,0.012054414473684211,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1960-11-01,0.043881,0.009349697162952893,0.011958117647058822,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1960-12-01,0.047539,0.009322093880199918,0.012165409090909091,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1961-01-01,0.06272,0.011265252464150352,0.012393625806451612,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1961-02-01,0.030938,0.009600723900958551,0.012716230769230768,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1961-03-01,0.027945,0.011300464164739931,0.012832292993630572,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1961-04-01,0.002537,0.01068406066128847,0.012927943037974681,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1961-05-01,0.021853,0.011738385164781985,0.01286259119496855,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1961-06-01,-0.028473,0.010518445331915786,0.012918781249999997,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1961-07-01,0.031795,0.010059923058819989,0.012661689440993787,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
