date,y_true,fcast_enet,hmean,nr_enet,dy,ep,dpayr,svar,bmr,ntis,tbl,lty,ltr,dfr,dfy,inf
1962-10-01,0.006213,0.006840340810225743,0.010917448863636362,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1962-11-01,0.105768,0.006949789968006331,0.010890870056497174,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1962-12-01,0.013534,0.007631597204274251,0.01142388764044944,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1963-01-01,0.048067,0.006200293616114481,0.011435675977653634,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1963-02-01,-0.026689,0.006551578544605311,0.011639183333333336,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1963-03-01,0.034281,0.006637862874895557,0.011427425414364643,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1963-04-01,0.04677,0.008001880909544404,0.011552994505494508,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1963-05-01,0.017174,0.008409107228178418,0.011745437158469946,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1963-06-01,-0.021005,0.008407208036540777,0.011774940217391306,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1963-07-01,-0.004121,0.007912689718471876,0.01159775135135135,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1963-08-01,0.050766,0.007197660483346328,0.01151324193548387,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1963-09-01,-0.012902,0.007312626227372951,0.011723149732620319,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1963-10-01,0.032125,0.004308762865832986,0.011592164893617021,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1963-11-01,-0.007387,0.004348037407802655,0.011700804232804233,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1963-12-01,0.023365,0.004270037424729711,0.011600342105263157,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1964-01-01,0.024491,0.004351099725939743,0.01166193717277487,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1964-02-01,0.014015,0.004772772569242575,0.011728755208333332,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1964-03-01,0.014632,0.005528716672574723,0.01174060103626943,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1964-04-01,0.003092,0.006357280862664745,0.011755505154639176,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1964-05-01,0.013915,0.0057957763231831425,0.011711076923076925,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1964-06-01,0.015484,0.005793714410599303,0.01172232142857143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1964-07-01,0.01591,0.006049919603643161,0.011741416243654823,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1964-08-01,-0.014621,0.006074317687994936,0.011762469696969697,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1964-09-01,0.027599,0.005790618372793084,0.01162988944723618,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1964-10-01,0.005945,0.00842992044362244,0.011709734999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1964-11-01,-0.001302,0.00817646765259459,0.011681054726368158,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1964-12-01,0.002328,0.007642139292282746,0.011616782178217822,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1965-01-01,0.031691,0.004480844331700595,0.011571024630541871,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1965-02-01,0.000946,0.008675451603051644,0.011669651960784313,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1965-03-01,-0.015213,0.008148390426837328,0.011617341463414633,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1965-04-01,0.032012,0.008030357890510112,0.011487097087378639,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1965-05-01,-0.006222,0.00973695713412462,0.011586251207729466,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1965-06-01,-0.04998,0.008425436463787142,0.011500634615384612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1965-07-01,0.010986,0.0067578876158217935,0.011206468899521527,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1965-08-01,0.02446,0.00688436402743098,0.011205419047619047,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1965-09-01,0.030066,0.0071799743045641296,0.011268236966824644,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1965-10-01,0.025712,0.008384787593154728,0.01135690566037736,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
