date,y_true,fcast_lasso,hmean,nr_lasso,dy,ep,dpayr,svar,bmr,ntis,tbl,lty,ltr,dfr,dfy,inf
1962-10-01,0.006213,0.006286734013231467,0.010917448863636362,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1962-11-01,0.105768,0.006843571605490104,0.010890870056497174,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1962-12-01,0.013534,0.007116862206282068,0.01142388764044944,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1963-01-01,0.048067,0.00567181005806287,0.011435675977653634,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1963-02-01,-0.026689,0.007344077347425523,0.011639183333333336,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1963-03-01,0.034281,0.007023982066516523,0.011427425414364643,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1963-04-01,0.04677,0.007505683942786293,0.011552994505494508,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1963-05-01,0.017174,0.007941084068836769,0.011745437158469946,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1963-06-01,-0.021005,0.007934346086885565,0.011774940217391306,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1963-07-01,-0.004121,0.007393252357644304,0.01159775135135135,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1963-08-01,0.050766,0.006576590074855211,0.01151324193548387,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1963-09-01,-0.012902,0.006681302880979897,0.011723149732620319,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1963-10-01,0.032125,0.004747477178180155,0.011592164893617021,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1963-11-01,-0.007387,0.006247741664566391,0.011700804232804233,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1963-12-01,0.023365,0.0035077302427877627,0.011600342105263157,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1964-01-01,0.024491,0.004220118640911808,0.01166193717277487,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1964-02-01,0.014015,0.006019015958173481,0.011728755208333332,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1964-03-01,0.014632,0.006196742792558135,0.01174060103626943,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1964-04-01,0.003092,0.006412305911390614,0.011755505154639176,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1964-05-01,0.013915,0.007089569111943495,0.011711076923076925,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1964-06-01,0.015484,0.0051814744433029206,0.01172232142857143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1964-07-01,0.01591,0.007326814745163189,0.011741416243654823,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1964-08-01,-0.014621,0.006034257813451236,0.011762469696969697,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1964-09-01,0.027599,0.005189997076296984,0.01162988944723618,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1964-10-01,0.005945,0.007946602568247946,0.011709734999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1964-11-01,-0.001302,0.007671258634700239,0.011681054726368158,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1964-12-01,0.002328,0.007088172028151908,0.011616782178217822,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1965-01-01,0.031691,0.004420044921906015,0.011571024630541871,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1965-02-01,0.000946,0.009188218119375735,0.011669651960784313,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1965-03-01,-0.015213,0.0076209497715468595,0.011617341463414633,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1965-04-01,0.032012,0.007491050697665438,0.011487097087378639,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1965-05-01,-0.006222,0.010553285865673171,0.011586251207729466,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1965-06-01,-0.04998,0.00892222161474835,0.011500634615384612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1965-07-01,0.010986,0.006141999023269867,0.011206468899521527,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1965-08-01,0.02446,0.006277792302877866,0.011205419047619047,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1965-09-01,0.030066,0.007434730665108295,0.011268236966824644,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1965-10-01,0.025712,0.00887935090911161,0.01135690566037736,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1965-11-01,-0.006921,0.00917841183347572,0.011424300469483568,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1965-12-01,0.006849,0.008736190299452396,0.01133857476635514,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1966-01-01,0.002405,0.00705839372444992,0.011317693023255812,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1966-02-01,-0.01655,0.006468830136855758,0.011276430555555553,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1966-03-01,-0.026541,0.00573875859446606,0.011148198156682027,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1966-04-01,0.018358,0.002950543327453963,0.010975311926605504,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1966-05-01,-0.05254,0.005457651704092433,0.011009022831050227,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1966-06-01,-0.01848,0.0009927698399263864,0.010720163636363635,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1966-07-01,-0.015929,0.0012508629921439453,0.010588036199095022,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1966-08-01,-0.07515,-0.0004689631387437311,0.01046859009009009,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1966-09-01,-0.010344,-0.004680135237281195,0.010084650224215248,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1966-10-01,0.044333,-0.00587528424673575,0.009993450892857145,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1966-11-01,0.006723,-0.003185557402849547,0.010146071111111113,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1966-12-01,-0.003674,-0.0048987863072235665,0.010130924778761064,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1967-01-01,0.075215,0.0009441039358294048,0.010070110132158592,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1967-02-01,0.003214,0.0029348213903721506,0.010355833333333335,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1967-03-01,0.037537,-0.002672444040665309,0.010324646288209607,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1967-04-01,0.039471,0.006612857987776437,0.010442960869565218,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1967-05-01,-0.05001,0.00820383301907457,0.010568623376623376,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1967-06-01,0.016019,0.004721549596142452,0.010307508620689654,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1967-07-01,0.043754,-0.003454512679876582,0.010332021459227467,5.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
1967-08-01,-0.009924,0.012459734727884206,0.010474850427350427,8.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1967-09-01,0.030715,0.005034788393060291,0.010388046808510638,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1967-10-01,-0.030648,0.007969788544570897,0.010474177966101693,8.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1967-11-01,0.002535,-0.006403729395233311,0.010300666666666666,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1967-12-01,0.023479,0.004685669969947045,0.01026803781512605,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1968-01-01,-0.045175,0.006805976263184498,0.010323313807531381,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1968-02-01,-0.0309,0.005712155701155149,0.010092070833333333,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1968-03-01,0.005796,-0.002992099798068674,0.009921979253112034,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1968-04-01,0.080292,-0.0062297449189691245,0.009904929752066116,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1968-05-01,0.012074,0.005362712925839442,0.010194588477366255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1968-06-01,0.005416,0.005142340952528723,0.010202290983606558,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1968-07-01,-0.021744,0.005752346728082192,0.010182755102040817,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1968-08-01,0.011615,0.005570035373857116,0.010052971544715447,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1968-09-01,0.035151,0.004891552365762247,0.010059295546558706,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1968-10-01,0.004287,0.007506387838190876,0.010160471774193549,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1968-11-01,0.04918,0.007067561274672662,0.010136883534136547,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1968-12-01,-0.045026,0.008183685466668403,0.010293056,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1969-01-01,-0.011847,0.004992428503882037,0.010072661354581673,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1969-02-01,-0.047621,0.004092681338374177,0.009985678571428572,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1969-03-01,0.030247,-0.017949146121400066,0.009757984189723321,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1969-04-01,0.018171,-0.0021682766947846337,0.009838649606299214,7.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1969-05-01,-0.001446,0.002234930842285098,0.00987132549019608,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1969-06-01,-0.059157,-0.003125366816632613,0.009827117187500001,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1969-07-01,-0.063732,-0.010941676012992315,0.009558696498054476,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1969-08-01,0.040428,-0.026137801835861427,0.009274624031007754,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1969-09-01,-0.028941,-0.020448246133202744,0.009394907335907338,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1969-10-01,0.0407,-0.037536858626826215,0.00924746153846154,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1969-11-01,-0.035152,-0.00023121166670589843,0.009367969348659006,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1969-12-01,-0.022122,-0.0030577956607544463,0.00919804580152672,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1970-01-01,-0.081798,-0.00520588783907041,0.009078958174904945,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1970-02-01,0.053521,-0.009988619074397995,0.008734727272727274,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1970-03-01,-0.003394,-0.004438497392905864,0.0089037320754717,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1970-04-01,-0.094531,-0.0025300932082888976,0.0088575,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1970-05-01,-0.059689,-0.004822003294584308,0.008470277153558053,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1970-06-01,-0.054332,-0.02133762799177138,0.008215951492537314,6.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
1970-07-01,0.069723,-0.0037864241955316786,0.0079834312267658,6.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
1970-08-01,0.044578,-0.012261786026316248,0.008212096296296299,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1970-09-01,0.029402,-0.0048611144812689844,0.00834628782287823,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1970-10-01,-0.014432,0.008787196424591906,0.008423698529411766,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1970-11-01,0.049787,-0.0016884627817091535,0.008339978021978025,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1970-12-01,0.054084,0.02779277472500283,0.008491244525547446,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1971-01-01,0.038628,0.0017701581007541012,0.008657036363636364,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1971-02-01,0.009517,0.026632196451844267,0.008765626811594204,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1971-03-01,0.035768,0.017673880106040336,0.008768339350180508,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1971-04-01,0.033965,0.033626433137842096,0.008865460431654678,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1971-05-01,-0.03995,0.007384405484735975,0.008955422939068102,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1971-06-01,-0.000461,0.010144800247773516,0.008780760714285714,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1971-07-01,-0.044527,-0.0018450203101907673,0.008747871886120997,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1971-08-01,0.038036,0.005801018599608401,0.00855895390070922,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1971-09-01,-0.009738,0.016782847883720604,0.008663113074204948,9.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1971-10-01,-0.043829,0.006754098975781742,0.008598320422535211,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1971-11-01,-0.000802,0.006293692798966631,0.008414364912280701,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1971-12-01,0.08418,0.004115560335508661,0.008382139860139859,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1972-01-01,0.015388,0.006556510375985054,0.008646243902439022,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1972-02-01,0.027321,0.007017447621670236,0.008669652777777778,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1972-03-01,0.004815,0.009029775180259972,0.008734190311418685,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1972-04-01,0.002776,0.005982303767522813,0.008720675862068967,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1972-05-01,0.019119,0.007150623620604694,0.008700247422680413,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1972-06-01,-0.023156,0.009453488555403327,0.008735928082191782,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1972-07-01,0.000345,0.005983508412248487,0.008627081911262798,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1972-08-01,0.036325,0.008356020555592293,0.008598911564625849,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1972-09-01,-0.006177,0.006430511967652821,0.008692898305084745,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1972-10-01,0.007478,0.00351600358387108,0.008642662162162161,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1972-11-01,0.046297,0.006777441616229491,0.00863874074074074,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1972-12-01,0.009963,0.006965889864367558,0.008765110738255033,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1973-01-01,-0.020452,0.0010254348783712086,0.008769117056856186,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1973-02-01,-0.038218,-0.0005898337315681282,0.00867171333333333,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1973-03-01,-0.005193,0.0020764448074841887,0.008515933554817274,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1973-04-01,-0.044664,-0.006004831614727006,0.008470539735099336,8.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1973-05-01,-0.01915,-0.009586001779919655,0.00829517821782178,8.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1973-06-01,-0.010278,-0.015384524226410606,0.008204898026315787,8.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1973-07-01,0.034028,-0.015040030139286165,0.008144298360655736,8.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1973-08-01,-0.037944,-0.022380064290607272,0.008228885620915035,8.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1973-09-01,0.035219,-0.00797629216157971,0.008078485342019544,8.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1973-10-01,-0.006488,-0.004586111751432461,0.008166603896103897,8.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1973-11-01,-0.11372,-0.0020029355766277073,0.00811917799352751,8.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
