date,y_true,fcast_ridge,hmean,nr_ridge,dy,ep,dpayr,svar,bmr,ntis,tbl,lty,ltr,dfr,dfy,inf
1960-01-01,-0.073333,0.007109666440335689,0.013531048951048948,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1960-02-01,0.010622,0.006025056304391563,0.012927826388888886,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1960-03-01,-0.015466,0.008661975284013024,0.012911924137931031,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1960-04-01,-0.019613,0.01003597939886519,0.012717554794520547,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1960-05-01,0.031613,0.005759484220348977,0.012497619047619047,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1960-06-01,0.019102,0.009088141090906955,0.012626777027027027,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1960-07-01,-0.025348,0.010930388801458194,0.012670234899328859,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1960-08-01,0.030167,0.01240854607610221,0.01241678,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1960-09-01,-0.060413,0.009033779523953943,0.012534331125827814,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1960-10-01,-0.002679,0.010384004103785517,0.012054414473684211,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1960-11-01,0.043881,0.008487292248494848,0.011958117647058822,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1960-12-01,0.047539,0.007869531174192436,0.012165409090909091,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1961-01-01,0.06272,0.012951880282392416,0.012393625806451612,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1961-02-01,0.030938,0.00842638772988447,0.012716230769230768,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1961-03-01,0.027945,0.012833050306392363,0.012832292993630572,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1961-04-01,0.002537,0.011024293787619268,0.012927943037974681,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1961-05-01,0.021853,0.014426119662473057,0.01286259119496855,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1961-06-01,-0.028473,0.010411330438001451,0.012918781249999997,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1961-07-01,0.031795,0.009780417856068646,0.012661689440993787,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1961-08-01,0.02293,0.010921308374062721,0.012779796296296294,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1961-09-01,-0.020074,0.009855412610450408,0.012842067484662576,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1961-10-01,0.026475,0.01128321057862212,0.01264135975609756,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1961-11-01,0.043326,0.010674152251019005,0.012725199999999999,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1961-12-01,0.003196,0.010774149714133324,0.012909542168674697,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1962-01-01,-0.039256,0.00966240662967204,0.01285137724550898,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
