date,INDPRO,INDPRO_lead,INDPRO_lag_1,INDPRO_lag_2,INDPRO_lag_3,INDPRO_lag_4,RPI,W875RX1,DPCERA3M086SBEA,CMRMTSPLx,RETAILx,IPFPNSS,IPFINAL,IPCONGD,IPDCONGD,IPNCONGD,IPBUSEQ,IPMAT,IPDMAT,IPNMAT,IPMANSICS,IPB51222S,IPFUELS,CUMFNS,HWI,HWIURATIO,CLF16OV,CE16OV,UNRATE,UEMPMEAN,UEMPLT5,UEMP5TO14,UEMP15OV,UEMP15T26,UEMP27OV,CLAIMSx,PAYEMS,USGOOD,CES1021000001,USCONS,MANEMP,DMANEMP,NDMANEMP,SRVPRD,USTPU,USWTRADE,USTRADE,USFIRE,USGOVT,CES0600000007,AWOTMAN,AWHMAN,HOUST,HOUSTNE,HOUSTMW,HOUSTS,HOUSTW,AMDMNOx,AMDMUOx,BUSINVx,ISRATIOx,M1SL,M2SL,M2REAL,BOGMBASE,TOTRESNS,NONBORRES,BUSLOANS,REALLN,NONREVSL,CONSPI,S&P 500,S&P: indust,S&P div yield,FEDFUNDS,TB3MS,TB6MS,GS1,GS5,GS10,AAA,BAA,TB3SMFFM,TB6SMFFM,T1YFFM,T5YFFM,T10YFFM,AAAFFM,BAAFFM,EXSZUSx,EXJPUSx,EXUSUKx,EXCAUSx,WPSFD49207,WPSFD49502,WPSID61,WPSID62,OILPRICEx,PPICMM,CPIAUCSL,CPIAPPSL,CPITRNSL,CPIMEDSL,CUSR0000SAC,CUSR0000SAD,CUSR0000SAS,CPIULFSL,CUSR0000SA0L2,CUSR0000SA0L5,PCEPI,DDURRG3M086SBEA,DNDGRG3M086SBEA,DSERRG3M086SBEA,CES0600000008,CES2000000008,CES3000000008,MZMSL,DTCOLNVHFNM,DTCTHFNM,INVEST
1959-07-01,-0.024238761564067,-0.034466119803347,-0.024238761564067,0.001141197557188,0.014951127587286,0.021079316539026,-0.000585539823238,-0.000807840346662,-0.003364929427051,0.012104395373573,-0.000330178207916,0.001168233909423,0.008248018024067,0.013056494179148,0.019608679590971,0.008210493820755,0.002193390340967,-0.061171779045262,-0.105480835217525,0.004730592763887,-0.018455462303232,0.01313926490591,-0.023257918426609,-1.78880000000001,6,-0.012350391,0.003815319976427,0.002494995903858,0.1,-0.6,0.044337489916155,0.083630799072411,-0.079956176284221,-0.051927610932764,-0.101717524379326,0.019137468389593,0.002288692444353,0.003436693900847,0.014302819675359,-0.004202365971079,0.004426347157015,0.006170520255226,0.001889466787921,0.001635180088119,0.000820232445166,0.000841010791572,0.000658183437539,0.002442003655552,0.003677376048998,39.9,-0.1,40.3,7.34407285057307,5.6021188208797,5.91620206260744,6.27852142416584,5.91889385427315,-0.079375124573565,-0.007999037488515,0.007706742929924,0.030993377,-1.2539301304848E-05,-0.002748099076983,0.002372714904553,0.005907208463869,0.016143640411139,0.028282504012841,-0.008698611315494,-0.001795375792137,8.51216628090512E-05,0.0014919,0.038912759236821,0.039376415761614,-0.107728157,0.08,-0.01,0.3,0.319999999999999,0.08,0.060000000000001,0.01,0.04,-0.27,0.35,0.92,1.11,0.93,1,1.61,-0.000440779026055,0,-0.000284484906438,-0.001774252931131,-9.07247547088375E-06,-0.005997005992513,-0.003241493924171,-0.003261444775482,0,-0.012167387258427,-0.001034412761967,-4.93828379788397E-06,-1.12608174229756E-05,-0.004662013105811,0,0.002600781700058,0.00430108189939,-0.003430535096789,-1.05414622071365E-05,-1.13367759344563E-05,-0.000747630617951,-0.001520709666613,-0.001237809652263,-0.00010002163663,0,-0.004040150427727,-0.004796172263493,-0.002157921856217,-0.004630642390474,-0.000999544898168,0.029341279493867
1959-08-01,-0.034466119803347,-0.001205866950269,-0.034466119803347,-0.024238761564067,0.001141197557188,0.014951127587286,-0.005695266309304,-0.005716007543634,0.005992904883423,-0.052531232385222,0.00636420630728,-0.007025880536732,-0.002349030982147,0.001178003598842,-0.028310155151421,0.011615753461715,-0.008779905631112,-0.078972556978399,-0.128527215683459,-0.003691666553364,-0.04038490409845,0.006505454364497,0.016336632039283,-3.51219999999999,-85,-0.031856946,-0.001562374835048,-0.00257210106763,0.100000000000001,-0.600000000000001,0.010006337399726,0.061130140405008,0,0.032462276144661,-0.02661364851809,0.086883795865829,-0.008736288530576,-0.024885933544084,-0.083795316453744,-0.00064808816267,-0.027317189285917,-0.048649876147101,0.002984373533643,0.000350048135193,0.002456668357148,0.015432463555951,0.003211564382214,0.001624695727002,0.000978353997569,40,0.1,40.4,7.26542972325395,5.4380793089232,5.85793315448346,6.16120732169508,5.92958914338989,-0.048423428953647,-0.000294377278847,0.001643745996518,0.030993378,-0.002124384168131,0.000323553529246,0.003056448028905,-0.011861721466042,-0.016114734917647,-0.017078288942696,-0.002805160069945,-0.00147319495072,-0.000164306759681,0.002232431,-0.005707586419365,-0.007658082280511,0.028426667,0.03,0.18,0.05,0.03,-0.01,0.029999999999999,-0.04,0.01,-0.12,0.37,0.92,1.07,0.93,0.93,1.59,0.001113172656693,0,-0.000782751053984,-0.002824417380511,-9.12737711145084E-06,-0.003025611607124,0.003241493924171,-9.36568310336838E-05,0,-8.41715416521893E-05,-0.000344524740831,-4.9164087601028E-06,-0.003350086885282,0.004640379556502,0,-0.005201563400115,-1.84201073891721E-05,0.003418806748786,-0.003241493924171,-0.003361347702705,-0.000619816476972,-0.005122924185722,0.000894787976648,-0.000617407219381,0,0.003944528326199,-0.009615458699442,-0.00036977045264,-0.000472338011498,-0.000502124736499,-0.025495452902447
1959-09-01,-0.001205866950269,-0.007292320567315,-0.001205866950269,-0.034466119803347,-0.024238761564067,0.001141197557188,0.000788316863747,-4.27798335929097E-05,0.01000119459695,0.014715279161886,-0.013156997839014,-0.004710127688582,-0.003536074611936,-0.003541165612579,-0.030423169192056,0.005757668295902,-0.007749021792542,-0.001263065303893,-0.003999586161626,0.001318492348727,-0.002425492257392,0.020543994502328,-0.006969524657373,-0.418700000000001,-33,-0.031356176,0.001649912403311,-0.001141852084501,0.3,0,-0.003116238109208,0.135887106316981,0.006726482760951,0.09820970229966,-0.077625162030536,-0.047045692489109,0.001723427799099,0.000157476182054,-0.021978906718775,-0.011082251622819,0.003414765598198,0.005311047005845,0.000783883398295,0.002592372889122,-0.001182086975565,-0.00653066627148,-0.000838391067388,0.002432104968612,0.007064584801892,40,-0.1,40.4,7.33953769540767,5.48893772615669,5.89164421182577,6.32793678372919,5.92958914338989,0.026886713776087,0.0150074303392,-0.004279372375192,-0.010331126,-0.00777313125719,-0.00304516682077,-0.001379174684184,0.001970443987299,0.005361943141385,0.011331535695942,-0.006715014400598,-0.000609526778133,-0.000844133674939,0.001138698,-0.040366150060515,-0.040501734126212,0.136746474,0.26,0.66,0.83,0.58,0.33,0.25,0.09,0.09,0.28,0.94,1.24,1.14,0.92,0.76,1.42,0.002476996462951,0.000719779735705,-0.002066558135877,-0.003042545493498,0.015074059432712,0.021016899189522,0,0.016218079202543,0,0.024530890077967,0.001367400285087,-4.89467875031124E-06,0.003338901265515,-2.14337002080178E-05,0.005988041844623,0.005201563400115,-1.82630055434174E-05,-0.003418806748786,0.003231020581447,0.003350086885282,0.001103672084104,0.006350559662859,0.00072225136286,-8.63411684814963E-06,0,-0.00399177130472,0.014434745135391,-0.003526220551192,-0.013087624420651,-0.006685173589759,0.01633290481661
1959-10-01,-0.007292320567315,0.00608062073686,-0.007292320567315,-0.001205866950269,-0.034466119803347,-0.024238761564067,0.001223073650988,0.001197144099534,-0.006823314410187,0.001574035986899,0.007288017705775,-0.002365465325335,-0.004731421441961,-0.004737148451771,0.022905887770899,-0.012711432760838,-0.007809538380831,-0.010182163971205,-0.016178042806058,-0.018836531863555,-0.008540581765053,0.00253685129272,-0.005843478449141,-0.895200000000003,-52,-0.027978862,0.004018467035593,0.002174567678576,0.2,-0.799999999999999,0.088362939289255,0.013245226750021,-0.013498517670896,-0.02938064439322,0.002239642593505,0.131090444354324,-0.0013110334693,-0.006688283615102,0.004739707672826,-0.011537955588823,-0.006313318352209,-0.007920385374431,-0.004082920244793,0.001656760395823,0.000272913351706,0.001551590691419,0.00180349270558,0.002829999867337,0.003150753939535,39.6,0,40.1,7.2115567333138,5.53733426701854,5.72031177660741,6.09356977004514,5.8664680569333,0.018725930022585,0.012946696711101,0.003183841939361,0.010331126,0.002810292183461,-0.00168594273384,-0.004148973649009,0,0,-0.005681818181818,-0.000558851137233,0.001408163579479,0.000535972049097,0.001188934,-0.000876808473534,-0.002781187886777,0.014484786,0.22,0.01,-0.17,-0.2,-0.180000000000001,-0.149999999999999,0.050000000000001,0.100000000000001,0.07,0.55,0.82,0.74,0.55,0.59,1.3,0.003162550680095,0.000360112080099,0.000926916287399,-0.00410634954481,-0.021070956115811,-0.026968975632857,0,-0.012987058621096,0,-0.006237016821925,0.001016942013014,-0.002209945650803,-1.11111728404723E-05,-0.004618945856294,-0.005988041844623,-0.002600781700058,-1.81079050065591E-05,0.003407158321614,-0.003231020581447,-0.003350086885282,-0.000129147236664,-0.002399013449113,-0.000229586756984,0.000420914324776,0,0.003898399170009,-0.009638572871898,-0.000703605987908,-0.00160136715928,-0.003006789440386,-0.003397303281035
1959-11-01,0.00608062073686,0.05998125059095,0.00608062073686,-0.007292320567315,-0.001205866950269,-0.034466119803347,0.007596157619573,0.0066861395091,-0.000445409505721,-0.036699689335833,-0.026703930763411,-0.010706076524095,-0.016747308265618,-0.021611587103791,-0.131557423114774,0.013856963661427,-0.015804459851705,0.038879376035591,0.064458481651382,0.001692455006612,0.007325625933339,0.006316399121256,0.037956764750295,0.351399999999998,64,0.006760339,-0.004193549835614,-0.005886868925653,0.1,0.199999999999999,-0.002861232281032,-0.069711838417792,0.106266107750506,0.146916185926326,0.064957896274772,0.116085680355894,0.005159275688213,0.009623296204204,0.04532678085621,0.002979641337095,0.009324383008552,0.013427564227303,0.003612663946448,0.00269725652584,0.00181752140182,0.002077628474233,0.00170940212565,0.002419356018807,0.002296212260349,39.6,-0.3,39.9,7.25559127425367,5.50533153593236,5.78689738136671,6.21460809842219,5.8406416573734,-0.057805863276823,-0.00204712558631,-0.000987004433536,0,0.002840404422278,0.002695872889777,0.002076638570754,0.003937012959339,0,0.005649717514124,0.003497409004487,-0.001076632428357,-0.004770247466808,-3.01990000000085E-05,0.00402696858646,0.006857169726137,-0.001171454,0.02,0.100000000000001,0.01,0.01,0.03,0,-0.010000000000001,-0.020000000000001,0.15,0.54,0.81,0.75,0.53,0.56,1.26,0.000345657963368,0,-0.001283651451,0.002739439074893,0.0059968966831,0.00895959750729,0.003241493924171,-4.24416692372809E-05,0,0.011787920312844,-0.00341297259624,0,-0.003327790092674,0.00459770924863,0,0,-0.004246290881451,-0.003407158321614,0,0,-0.001840753591079,0.001487878494416,-0.004069082114855,-0.000696208485392,0,-0.003944537045369,0.004819286435949,0.00456529237369,-0.012239614435055,-0.004567439841145,0.004213934749552
1959-12-01,0.05998125059095,0.025915554183729,0.05998125059095,0.00608062073686,-0.007292320567315,-0.001205866950269,0.010196814835504,0.011352967535719,-0.001114392492884,0.049608418991067,-0.004643795671363,0.029462850489466,0.02383607194171,0.032241753444151,0.120172267267608,0.003433811141739,0.014687109123505,0.101660305824013,0.168425030006436,0.024522322722548,0.065905535673028,0.003771687658946,-0.013635631512039,5.06310000000001,-72,0.018993009,0.00670416320674,0.012489478668822,-0.5,0,-0.051745817209965,-0.071366759842114,-0.065217638311379,-0.108666303792326,-0.021187233219444,-0.255150981806697,0.010017893219626,0.016453800725994,0.012314534468514,0.010850016024065,0.017685817114812,0.029486979812676,0.000940291559642,0.006438131223963,0.00489087108439,0.004405376403845,0.004387403245119,0.003216729754015,0.010088963789229,40,0.2,40.3,7.37838371299671,5.54517744447956,5.97888576490112,6.38350663488401,5.8805329864007,0.088794612835805,-0.008850708189039,0.010803837216706,-0.030993378,-0.002855612738186,0.000331773750566,0.000296310931103,0.007781871153874,0.021277398447285,0.005586237542055,0.007837661302903,0.007658209187194,0.014089462732939,0.001417224,0.031475639894766,0.033597784966177,-0.087425043,-0.01,0.34,0.31,0.33,0.26,0.16,0.020000000000001,0.020000000000001,0.5,0.86,1.15,1.02,0.7,0.59,1.29,-0.003762570370332,0,-0.001535412988437,0.000946521604031,0.003025720916537,0.003016593539426,-0.003241493924171,-4.30001182571971E-05,0,-0.02678231549205,0.002042206291798,0,0,-0.00459770924863,0,0,0.004228336109521,0.003395589001138,0.003220614700042,0.003338901265515,0.000550067174892,-0.000332860398255,0.001839181103212,-0.000519739422835,0.013730192811902,-0.007797280831314,0.019139340210697,-0.000715759335981,-0.00553929165063,0.005955714121306,0.008364099895071
1960-01-01,0.025915554183729,-0.008936898421873,0.025915554183729,0.05998125059095,0.00608062073686,-0.007292320567315,0.003192873241698,0.004647373810722,0.002783656178956,0.01695995436932,0.026605506601531,0.024099857388143,0.029021846898645,0.031234610322454,0.103832065184037,0.004560991136301,0.036317836229873,0.028482099602426,0.039054862011347,0.015239443194189,0.026966445378143,-0.008819774200942,-0.012665462224966,1.99339999999999,426,0.122288167,-0.000463916039518,9.18217434531243E-05,-0.1,0.4,-0.011532753013547,-0.07109592168373,-0.005449604767565,-0.006644542718669,-0.004291852081542,0.015470050879788,0.001844202352139,0.003391924312794,-0.012314534468514,-0.012173205102336,0.007293698360902,0.010823787886636,0.00219058137982,0.000977967057178,0.002436494459879,-0.001428679091043,0.004728397187218,0.002005214227138,-0.007316374465633,40.1,0.3,40.6,7.28619171470238,5.61312810638807,5.8805329864007,6.22653666928747,5.77455154554441,-0.039017309957924,-0.028030891471346,0.008538284759076,-0.010331126,0.004282150858144,-0.001011055700618,0.002662854771368,-0.027374781185765,-0.031859507777821,-0.01123595505618,-0.006756504077679,-0.009353684962575,-0.021859425908283,-0.000345695,-0.01759375811326,-0.020504572784155,0.11818887,0,-0.140000000000001,-0.109999999999999,-0.109999999999999,-0.09,0.029999999999999,0.03,0.06,0.36,0.75,1.04,0.93,0.73,0.62,1.35,0.000647338997036,0.000360537446164,0.000500160776387,0.001995275012176,0.003025720916537,0.003016593539426,-0.003241493924171,0.009873866994895,0,0.020644983738332,-0.003403213647173,0,-0.003327790092674,0.004576667027412,0,0,-0.004228336109521,-1.14910168980131E-05,-0.003220614700042,-0.00667780253103,-0.001712841464447,-0.002590791100574,-0.001785842403959,-0.001284702442834,-0.004680357291984,0.007797280831314,-0.009705307977339,-0.002450792240921,0.004292359318574,-0.011738862685235,-0.013330265659128
1960-02-01,-0.008936898421873,-0.009017487331382,-0.008936898421873,0.025915554183729,0.05998125059095,0.00608062073686,0.001144775275736,0.000918542087881,0.00432708985377,0.014411947901465,0.003696453737984,-0.005684470750692,-0.003438810156214,-0.011455362525979,-0.013858180705755,-0.010292277849566,0.006469861376412,-0.013044531962046,-0.016704916440026,-0.0061435396139,-0.007789659526619,-0.001268312579261,0.01037335294236,-0.950800000000001,0,0.046841475,-0.000188527384161,0.004168995172932,-0.4,-0.4,-0.135102484856565,-0.010582109330537,-0.084332405302573,-0.088224233414839,-0.080580486659339,-0.019998800271514,0.004393914429494,0.005831815177791,0.007117467768865,0.010536811348207,0.00495994912292,0.00740068803864,0.001405701129558,0.003587267625568,0.003149608902895,0.001766751704746,0.004293895441366,0.003998405966695,0.002284615915849,39.7,-0.2,40.3,7.31521838975297,5.59471137960184,5.94803498918065,6.18826412308259,5.89715386763674,-0.003358959752042,-0.023230847839095,0.011130251920577,0.020662252,-0.001429081875736,-0.000671816081763,-0.000689689174588,-0.006279179793705,-0.021853166422618,-0.033333333333333,-0.004530665315114,-0.001608992504653,0.006124488301951,0.000546748,-0.039544736003174,-0.043824194813056,0.195475953,-0.02,-0.39,-0.44,-0.37,-0.23,-0.23,-0.050000000000001,0,-0.01,0.33,0.69,0.72,0.52,0.59,1.37,0.002492960988267,0.000720962464758,0.001249308581045,-0.001574886146289,-0.003025720916537,-0.003016593539426,0.006482987848341,-0.003294895896853,0,-0.011808096606909,0.002722014710749,0.004405293467916,0.003327790092674,-2.08504915506502E-05,-0.002989538848366,0,0.004210532536344,-0.00338409798424,0,0.00667780253103,0.00158991124923,0.003764617931168,0.00167438472449,0.000766894123827,-0.004555445932079,0.003853336388661,-0.004750182920932,-0.000349587704839,0.008268451417729,0.00538766487278,-0.018942294390905
1960-03-01,-0.009017487331382,-0.007961168430474,-0.009017487331382,-0.008936898421873,0.025915554183729,0.05998125059095,0.00190975553576,0.000917699142534,0.014071578309504,-0.028020784462381,-0.001101988897098,-0.003428642815938,-0.00114611275403,0.001153783126697,-0.01996334233498,0.009155873915013,0.002151024771933,-0.016547579370754,-0.032084570176955,0.000437936068334,-0.012366694650408,0.037317880911056,0.010269458022732,-1.3687,-86,-0.086165236,-0.008008896232312,-0.014536723789036,0.600000000000001,-0.1,0.152052043170337,0.079893909220766,0.13129941491049,0.230880533816362,0.02531780798429,0.132722506481288,-0.001082896762609,-0.011904291639487,-0.002463590840975,-0.05798725765035,-0.003685820136129,-0.006109671183694,-0.000156091469918,0.004943644068002,-0.001168697035975,0.001576162746089,-0.000896780617897,0.002789402087578,0.023619874396797,39.5,-0.1,40,7.01121398735037,4.98360662170834,5.32787616878958,6.0591231955818,5.79605775076537,-0.011126046016216,-0.022625200249864,0.008161580057509,0.030993377,-5.10933857889029E-07,0.002341080530081,0.003050733065296,0.01991691271002,0.021385439566569,0.033333333333333,0.001802544724169,0.000612256729485,0.002588953752393,0.00086914,-0.013718626702914,-0.01504550399521,0.113781872,-0.13,-0.65,-0.69,-0.640000000000001,-0.380000000000001,-0.24,-0.069999999999999,-0.09,-0.53,-0.23,0.18,0.47,0.41,0.65,1.41,-0.000161392587819,0,0.000927048486846,-0.000735796532907,0.009022617599637,0.011976191046716,-0.003241493924171,0.009820046180975,0,-0.005839420206669,-0.001361007355375,-0.004405293467916,-0.003338901265515,-2.06613704700764E-05,0.005979077696733,-0.002600781700058,-1.76542763075105E-05,0,0,-0.003338901265515,-0.000489599169422,-0.004555114380316,0.001785611996874,-0.001024596628429,-2.01091929180608E-05,0.030131341097984,-0.004683849312427,0.002087197472189,0.003472085290364,0.000950901896394,0.00348999295444
1960-04-01,-0.007961168430474,-0.001142501377109,-0.007961168430474,-0.009017487331382,-0.008936898421873,0.025915554183729,0.003425817490114,0.003620855064063,0.015382418889479,0.009835694534425,0.02590339060758,0.002287067556104,0.00114611275403,0.006880459015984,-0.001188755093992,0.010196448722756,-0.010779416516014,-0.023634739526286,-0.036529441672959,-0.008798395284525,-0.007948895755414,0.001217458054003,0.030185310970759,-0.982799999999997,-40,0.003764053,0.017104593035965,0.019689533129096,-0.2,-0.4,0.040581869654172,-0.11133068264433,-0.067950661908508,-0.109866477578533,-0.020666636808559,-0.030758711336493,0.006571083525218,0.003761049282657,0.005354183979561,0.041807277799498,-0.003379997478248,-0.006363608812256,0.00093618356034,0.008119508609035,0.014467121406302,0.003929572242788,0.01746722697127,0.002781642961877,0.001055161596229,39.8,-0.4,40,7.16162200293919,5.38449506278909,5.66296048013595,6.14418563412565,5.75890177387728,-0.010788158463173,-0.018693812994661,0.000105557670979,-0.010331125,-0.000716587599712,-0.00034220894138,-0.001770260100387,0.006050427684174,0.016590016562201,0.005747126436782,0.006563759078429,-0.001608145849842,0.006011050450994,0.001046178,0.012821846085017,0.012693747493858,-0.038945869,0.08,-0.08,-0.06,0.020000000000001,-0.02,0.03,-0.04,-0.05,-0.69,-0.37,0.12,0.37,0.36,0.53,1.28,0.000438005009481,-0.001081499910922,0.001282188443638,0.012539349252735,-0.009022617599637,-0.011976191046716,-0.003241493924171,-0.006568010794598,0,-8.54967575447674E-06,0.00441052453733,0.002195390563436,0.003338901265515,-2.04748108640906E-05,-8.91071022834922E-06,-6.78170702306247E-06,-0.004192878260036,0,0.003210275630248,0.003327790092674,0.003108224372647,0.004119111605301,0.004438599214705,0.001531298726906,-0.008948560789842,-0.068074290181447,0,-0.00070121348333,0.008678175852442,0.005451725398538,0.024135977627895
