date,y_true,fcast_lasso,hmean,nr_lasso,dy,ep,dpayr,svar,bmr,ntis,tbl,lty,ltr,dfr,dfy,inf,Pyun_FC
2002-01-01,-0.015824,0.004418618813044284,0.007672944055944057,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-02-01,-0.020881,0.0036516919066416076,0.007509770833333334,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-03-01,0.036272,0.002781338185138444,0.007313972413793104,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-04-01,-0.062301,0.004912291244854332,0.007512315068493152,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-05-01,-0.0093,0.002518306586988893,0.00703739455782313,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-06-01,-0.072749,0.002256267598596467,0.006927006756756757,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-07-01,-0.075287,0.0004711843689690228,0.00639226845637584,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2002-08-01,0.005561,0.002496050341373116,0.0058477400000000014,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2002-09-01,-0.110365,-0.003914741226683516,0.00584584105960265,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2002-10-01,0.087199,0.015677476140965922,0.00508129605263158,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2002-11-01,0.057619,-0.0018456725652414626,0.005618013071895426,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2002-12-01,-0.060034,-0.006935743882817184,0.005955681818181819,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-01-01,-0.027679,-0.009445798235010183,0.005529941935483872,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2003-02-01,-0.016246,-0.0058445636954369985,0.005317064102564104,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2003-03-01,0.009408,-0.015433586548107328,0.005179719745222931,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2003-04-01,0.081774,-0.011765091233713538,0.005206481012658228,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2003-05-01,0.052251,0.002314994009842269,0.005688037735849058,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-06-01,0.011916,-0.0019783666318351737,0.0059790562500000016,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2003-07-01,0.016932,0.001918560771906406,0.006015931677018635,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2003-08-01,0.018897,-0.0004294572626959068,0.006083314814814815,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2003-09-01,-0.011437,-0.0009588778743490555,0.006161926380368098,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
