date,y_true,fcast_ew,hmean,nr_ew,dy,ep,dpayr,svar,bmr,ntis,tbl,lty,ltr,dfr,dfy,inf,Pyun_FC
2001-09-01,-0.083461,0.005947308494844494,0.007769884892086331,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-10-01,0.01674,0.0054771638609643755,0.0071182357142857144,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-11-01,0.076587,0.004468429867164801,0.0071864751773049644,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-12-01,0.007351,0.0052805668198962746,0.007675211267605633,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2002-01-01,-0.015824,0.005651862874574721,0.007672944055944057,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2002-02-01,-0.020881,0.005231452896239617,0.007509770833333334,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2002-03-01,0.036272,0.005179196476434048,0.007313972413793104,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2002-04-01,-0.062301,0.005876545578881698,0.007512315068493152,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2002-05-01,-0.0093,0.005080721380432298,0.00703739455782313,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2002-06-01,-0.072749,0.004249242582907073,0.006927006756756757,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2002-07-01,-0.075287,0.0038634332326496724,0.00639226845637584,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2002-08-01,0.005561,0.003875534337139307,0.0058477400000000014,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2002-09-01,-0.110365,0.0029717084295935326,0.00584584105960265,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2002-10-01,0.087199,0.003877960561450367,0.00508129605263158,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2002-11-01,0.057619,0.0027688892884842864,0.005618013071895426,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2002-12-01,-0.060034,0.0026916984998454807,0.005955681818181819,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-01-01,-0.027679,0.00209966580030945,0.005529941935483872,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-02-01,-0.016246,0.001774655051698279,0.005317064102564104,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-03-01,0.009408,0.0012809167107401347,0.005179719745222931,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-04-01,0.081774,0.0018986029551400422,0.005206481012658228,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-05-01,0.052251,0.004043603276201285,0.005688037735849058,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-06-01,0.011916,0.0030568999734068496,0.0059790562500000016,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-07-01,0.016932,0.003536949401980138,0.006015931677018635,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-08-01,0.018897,0.003993766123976324,0.006083314814814815,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-09-01,-0.011437,0.0038292788298979223,0.006161926380368098,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-10-01,0.05476,0.005628097905294411,0.006054615853658536,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-11-01,0.008559,0.005419931741478938,0.0063498,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-12-01,0.05108,0.005862829843883226,0.00636310843373494,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-01-01,0.018278,0.006043893496981026,0.006630874251497006,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-02-01,0.013703,0.006554101026590986,0.006700202380952381,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-03-01,-0.015582,0.006237900053007006,0.006741639053254438,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-04-01,-0.016484,0.0073721922745522235,0.006610323529411765,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-05-01,0.012829,0.00678543040794458,0.006475269005847954,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-06-01,0.018888,0.006894195276844391,0.006512209302325582,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-07-01,-0.033754,0.00571778082019972,0.006583745664739885,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-08-01,0.002807,0.006490891447049106,0.006351919540229885,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-09-01,0.009717,0.006368667896195752,0.006331662857142858,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-10-01,0.013873,0.0060519559256612026,0.006350897727272728,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-11-01,0.039459,0.0058158627246221945,0.006393395480225989,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-12-01,0.032234,0.00651462410576068,0.006579157303370786,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-01-01,-0.025424,0.006702873191725489,0.006722480446927375,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-02-01,0.019552,0.006532645111641185,0.00654388888888889,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-03-01,-0.01884,0.007022514191612374,0.006615756906077349,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-04-01,-0.021026,0.007463848054351371,0.006475890109890111,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-05-01,0.029894,0.0070356654446566795,0.00632560655737705,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-06-01,-0.000683,0.007152727342392979,0.0064536956521739144,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-07-01,0.035064,0.006174470903584716,0.006415118918918921,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-08-01,-0.011559,0.006424295894999695,0.006569145161290324,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-09-01,0.005067,0.00661263886921434,0.006472203208556151,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-10-01,-0.018572,0.006506424412726051,0.006464728723404256,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-11-01,0.035589,0.007244473834348262,0.00633225925925926,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-12-01,-0.00316,0.006500563348470919,0.006486242105263159,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-01-01,0.023242,0.006005592085416283,0.0064357382198952885,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-02-01,-0.001075,0.006392261336990767,0.006523270833333334,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-03-01,0.009509,0.0073797509745632504,0.006483901554404146,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-04-01,0.008364,0.0068502812281874634,0.006499494845360824,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-05-01,-0.031919,0.00674127503892999,0.006509056410256409,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-06-01,-0.002713,0.007053418239572127,0.006312994897959182,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-07-01,0.001571,0.006687790928211654,0.006267177664974618,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
