date,y_true,fcast_bss,hmean,nr_bss_ebic,dy,ep,dpayr,svar,bmr,ntis,tbl,lty,ltr,dfr,dfy,inf
1999-01-01,0.039,0.008487060919800416,0.007411266775777414,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1999-02-01,-0.035435,0.00862213057055716,0.007462882352941176,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1999-03-01,0.035479,0.008381203500500286,0.007392902120717782,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1999-04-01,0.033259,0.008427140247647843,0.007438644951140065,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1999-05-01,-0.026859,0.008717604458537566,0.007480629268292683,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1999-06-01,0.051031,0.008309388612046048,0.007424883116883117,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1999-07-01,-0.03422,0.008265013537346634,0.0074955575364667746,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1999-08-01,-0.008789,0.00822760269864066,0.007428056634304207,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1999-09-01,-0.031979,0.007918807917098583,0.007401857835218093,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1999-10-01,0.060338,0.007919652465433632,0.007338340322580645,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1999-11-01,0.016922,0.007708003455937454,0.007423685990338163,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1999-12-01,0.058979,0.007375992128573452,0.007438956591639871,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2000-01-01,-0.05403,0.0072441509861226605,0.007521685393258426,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2000-02-01,-0.021558,0.006947233713394575,0.007423044871794871,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2000-03-01,0.094188,0.0065205691694359726,0.007376675199999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
