date,y_true,fcast_comby,hmean,nr_comby,dy,ep,dpayr,svar,bmr,ntis,tbl,lty,ltr,dfr,dfy,inf
2003-01-01,-0.027679,-0.000856229097394293,0.006320279210925647,1,0,1,0,0,0,0,0,0,0,0,0,0
2003-02-01,-0.016246,-0.0004803322020483612,0.006268765151515153,1,0,1,0,0,0,0,0,0,0,0,0,0
2003-03-01,0.009408,-0.00010390324527586295,0.0062347034795764015,1,0,1,0,0,0,0,0,0,0,0,0,0
2003-04-01,0.081774,0.00013508034297084523,0.006239496978851965,1,0,1,0,0,0,0,0,0,0,0,0,0
2003-05-01,0.052251,0.0002879469312933508,0.006353425339366518,1,0,1,0,0,0,0,0,0,0,0,0,0
2003-06-01,0.011916,0.00048572368113029406,0.006422548192771086,1,0,1,0,0,0,0,0,0,0,0,0,0
2003-07-01,0.016932,0.0008056847310412006,0.006430809022556393,1,0,1,0,0,0,0,0,0,0,0,0,0
2003-08-01,0.018897,0.0010584006936331498,0.006446576576576578,1,0,1,0,0,0,0,0,0,0,0,0,0
2003-09-01,-0.011437,0.0013136873574418838,0.006465242878560721,1,0,1,0,0,0,0,0,0,0,0,0,0
2003-10-01,0.05476,0.0016752803158845567,0.006438443113772457,1,0,1,0,0,0,0,0,0,0,0,0,0
2003-11-01,0.008559,0.002142595349476774,0.0065106726457399115,1,0,1,0,0,0,0,0,0,0,0,0,0
2003-12-01,0.05108,0.0027379399523648124,0.0065137298507462705,1,0,1,0,0,0,0,0,0,0,0,0,0
2004-01-01,0.018278,0.00305619685019102,0.0065801475409836075,1,0,1,0,0,0,0,0,0,0,0,0,0
2004-02-01,0.013703,0.0031828505263979037,0.00659755505952381,1,0,1,0,0,0,0,0,0,0,0,0,0
2004-03-01,-0.015582,0.0032935474459966853,0.006608112927191679,1,0,1,0,0,0,0,0,0,0,0,0,0
2004-04-01,-0.016484,0.003475552168763496,0.006575189910979228,1,0,1,0,0,0,0,0,0,0,0,0,0
2004-05-01,0.012829,0.003820462692265006,0.006541028148148147,1,0,1,0,0,0,0,0,0,0,0,0,0
2004-06-01,0.018888,0.003922186149311667,0.0065503298816568046,1,0,1,0,0,0,0,0,0,0,0,0,0
2004-07-01,-0.033754,0.004037128422093816,0.006568553914327916,1,0,1,0,0,0,0,0,0,0,0,0,0
2004-08-01,0.002807,0.004270644028359879,0.006509081120943952,1,0,1,0,0,0,0,0,0,0,0,0,0
2004-09-01,0.009717,0.00434789038657569,0.00650362886597938,1,0,1,0,0,0,0,0,0,0,0,0,0
2004-10-01,0.013873,0.004358994006932549,0.006508354411764705,1,0,1,0,0,0,0,0,0,0,0,0,0
2004-11-01,0.039459,0.004298614204518531,0.006519168869309837,1,0,1,0,0,0,0,0,0,0,0,0,0
2004-12-01,0.032234,0.00413500195570257,0.006567467741935483,1,0,1,0,0,0,0,0,0,0,0,0,0
2005-01-01,-0.025424,0.003962627501192238,0.006605046852122986,1,0,1,0,0,0,0,0,0,0,0,0,0
2005-02-01,0.019552,0.004130028648744117,0.006558220760233917,1,0,1,0,0,0,0,0,0,0,0,0,0
2005-03-01,-0.01884,0.004164496222279745,0.006577189781021896,1,0,1,0,0,0,0,0,0,0,0,0,0
2005-04-01,-0.021026,0.004272195963081744,0.006540138483965013,1,0,1,0,0,0,0,0,0,0,0,0,0
2005-05-01,0.029894,0.00453875797008547,0.00650001310043668,1,0,1,0,0,0,0,0,0,0,0,0,0
2005-06-01,-0.000683,0.004508574385699398,0.006534015988372091,1,0,1,0,0,0,0,0,0,0,0,0,0
2005-07-01,0.035064,0.0045779581613718074,0.0065235413642960784,1,0,1,0,0,0,0,0,0,0,0,0,0
2005-08-01,-0.011559,0.004558043351853106,0.006564904347826089,1,0,1,0,0,0,0,0,0,0,0,0,0
2005-09-01,0.005067,0.004684996670782426,0.006538675832127353,1,0,1,0,0,0,0,0,0,0,0,0,0
2005-10-01,-0.018572,0.004765128246096731,0.006536549132947979,1,0,1,0,0,0,0,0,0,0,0,0,0
2005-11-01,0.035589,0.005041240768531276,0.006500317460317462,1,0,1,0,0,0,0,0,0,0,0,0,0
2005-12-01,-0.00316,0.004934901150261597,0.006542231988472625,1,0,1,0,0,0,0,0,0,0,0,0,0
2006-01-01,0.023242,0.005079547271340137,0.006528271942446045,1,0,1,0,0,0,0,0,0,0,0,0,0
2006-02-01,-0.001075,0.00495212319326564,0.006552285919540231,1,0,1,0,0,0,0,0,0,0,0,0,0
